sfs_class,observed,beta,km
1,0.404151646496724,0.402602748690016,0.332689878077528
2,0.127768002746545,0.1300239353457,0.151645224754203
3,0.0739135410408263,0.0739280330499072,0.0939995576556753
4,0.0528280834263153,0.0507461051433065,0.0663227104771352
5,0.0391954910880325,0.0383579382065549,0.0503150000176847
6,0.0326813864332103,0.0307548495070774,0.0399965044027055
7,0.0281342087946671,0.0256648219953561,0.03285254492293
8,0.0244399622350013,0.0220486656783742,0.0276484180356064
9,0.0204560409693016,0.0193674253373102,0.0237100443817338
10,0.0182852687895174,0.0173153991862492,0.0206397160623084
11,0.0165078820129889,0.015707209404248,0.0181884167917767
12,0.0153026921866506,0.014424552179147,0.0161927173474627
13,0.0146464538094012,0.0133889240366379,0.0145411783072326
14,0.011957128143507,0.0125467282333538,0.0131553625554969
15,0.0108252510514119,0.0118607376489613,0.0119785651836603
16,0.0101243097874288,0.0113050460872948,0.010968843727088
17,0.00985966869796584,0.0108620737742472,0.0100945547398861
18,0.00911223643177982,0.0105209062854046,0.00933140818637906
19,0.00836838039653249,0.0102766556184758,0.00866047194896638
20,0.00855792063628301,0.0101308497168494,0.00806678852758136
21,0.00746895831545218,0.0100932630736884,0.0075383963690381
22,0.00821996681257689,0.0101864256294728,0.00706562475506185
23,0.00878322318542042,0.0104562674706495,0.00664057741398403
24,0.00952171487425972,0.0109997518106809,0.00625674872076127
25,0.0114099648098876,0.0120520536229762,0.00590873459361167
26,0.0174806168283123,0.0143786332680604,0.00559201204450222
